aymara,spanish
Tuwaña,"Custodiar, proteger"
Tuxu,Flaco
Tuxuqiña,Hacer ruido
Tuykataña,Pasar nadando. Nadar
Tuyuña,"Nadar, bañarse. Flotar."
Tuyuri,Nadador
Tuyuyaña,"Hacer nadar, hacer flotar"
Uakaña,Fajar
Uakata,Faja
Uallakki,Hervir
Uallakkita,Hervido
Uallkacha,Colar
Uallke,Embarazada
Uaña,Sed
Uañachina,Secar
Uaraña,Derramar
Uasara,Desierto
Uattikkaña,Tentación
Ucanquir,Estar
Ucapacha,Entonces
Uchaña,Colocar. Poner en determinado lugar.
Uchi,Ave silvestre
Uchukullu,Variedad de aves. Variedad de maíz
Uchumari,Animal no doméstico parecido al cerdo
Uichinca,"Cola, Rabo"
Uillca,Sacerdote
Uislla,Cuchara
Ujsuña,Expulsar flemas de la garganta
Uju,Tos
Ujuña,Toser
Uka,"Ese, esa, eso"
Ukakama,Hasta ahí
Ukamaraquipanay,Amén
Ukana,Ahí
Ukanakama,Entre tanto o mientras tanto
Ukanchaña,Desear otra vez la misma cosa
Ukankaña,Estar ahí
Ukata,Después. Después de esto
Ukch'a,De ese tamaño
Ukch'pacha,Todo entero y completo
Ukhama,Así
Ukhampacha,Intacto
Ukhata,Después
Ukïri,Eso en especial
Ukja,En ese momento o esa cantidad
Ukkara,Sordo
Uksa,Ese lado
Ukäka,"Por ahí, por aquí"
Ulala,Variedad de cactus
Ulaqa,Congreso de principales autoridades
Ulinkati,Variedad de durazno
Ulla,Papa bien cocida
Ullaña,Leer
Ullaniña,Ir a leer
Ullarapiña,Leérselo
Ullasiri,Lector. Leerse
Ullaskaña,Estar leyendo
Ullpa,Refresco de cañahua
Ulluku,Papaliza
Ulluqiña,Movimiento de renacuajos y reptiles. Murmullo de personas
Ulu,Huevo de peces
Ulupika,"Chinchi, ají pequeño y picante"
Uma,Agua
Uma larqa,Acequia
Uma Pacha,Diciembre
Umachaña,Volver la tierra húmeda
Umallachi,"Aguanoso, con mucha agua"
Umaña,Beber. Tomar.
Umanina,Ir a beber
Umantaña,Beber
Umaqaña,"Beber sin tener que pagar, Manguero"
Umaraña,Beber entre varios
Umarapiña,Beber de copa ajena
Umaskaña,Estar bebiendo
Umata,"Borracho, Ebrio"
Umatatayaña,Hacer derretir
Umawi,Lugar donde se expanden bebidas alcohólicas. Abrevadero.
Umayaña,Hacer beber
Umiri,Alcohólico
Umjaña,Embriagarse
Umkaya,Algo que puede beberse
Umt'aña,Beber un poco
Uñachaña,Enseñar o mostrar
Uñachayaña,Hacer mostrar
Uñacht'ayaña,"Indicar, Señalar"
Uñakipaña,Volver a mirar o revisar algo
Uñamuchuña,Desconocer a alguien
Uñaña,"Ver, observar"
Uñanaqaña,Mirar a todo lado
Uñancha,Muestra o ejemplo
Uñanchaña,"Señal, indicio para hacer entender. Simbolizar. Mostrar"
Uñanukuña,"Dejar de ver, Discriminar"
Uñaqiri,Espía
Uñarapiña,Mirárselo
Uñata,Observado
Uñatataña,"Observar, Despertar"
Unch'uk'uniña,Ir a mirar
Uñch'ukiña,"Vigilar, acechar, espiar. Mirar"
Uñch'ukiyaña,Hacer mirar
Uñchukiri,Observador
Uñchuquiña,Observar
Uñchuquita,Observado
Uniña,Piedra preciosa. Odio.
Uñiri,Persona que puede ver el futuro en coca
Uñisiña,Odiar
Uñisiri,Persona que odia
Uñisita,Odiado
Uñisk'uru,Odioso
Uñjaña,Cuidar
Uñjarapiña,Cuidar para alguien
Uñjata,Conocido (a)
Uñjataña,Mirar hacia abajo
Uñjayaña,Hacer ver
Unjhaña,Ver
Uñjhaña,Mirar
Unjhasiña,Verse
Uñjiri,Portero
Uñjkaya,"Visible, llamativo, vistoso"
Uñkalla,Pato silvestre
Uñkaña,Dar alimento con el pico
Uñkatasi,Al frente
Uñkatasiña,Mirarse frente a frente
Uñnaqa,"Rostro, Fotografía"
Uñstata,El aparecido
Uñstayaña,Hacer aparecer algo novedoso
Uñstayiri,Persona que hace aparecer
Uñsuña,"Examinar, revisar"
Unt'aña,Conocer
Uñt'aña,Conocer o mirar
Uñt'asiña,Conocerse
Uñt'ata,"Enamorado, conocido"
Uñtama quitisa,Mira quien es
Uñtaña,"Ojear, mirar a determinado lugar"
Untayaña,Hacer conocer
Uñtiri,Espectador
Uñtistatti?,¿Me conoces?
Unttaña,Aparecer
Uñttasiña,Conocerse
Unukeyaña,Mover
Unuqaña,Moverse
Unuqiyaña,Hacer mover
Uqara,Sordo
Uqart'ayaña,Hacer ensordecer
Uqartaña,Volverse sordo
Uqi,Plomo. Color plomo.
Uquntaña,"Engullir, tragar"
Uqururu,Planta comestible
Uqututu,Intestino grueso
Uraqi,"Tierra, terreno"
Uri,Arisco
Uritu,Papagayo
Urjta,"Amanecer, aclarar"
Urkkhu,Pollera
Urpacha,Jornada
Urpi,Paloma
Urpu,Neblina
"Urpu, khenaya",Niebla
Urpuntata,"Nublado, cielo cubierto de nubes"
Urqu,Macho
Urquchi,Mujer que adopta modales masculinos
Urt'a,Momento en que entra el sol y sale la luna
Urt'aña,Retrasarse en la mañana
Uru,Día. Cultura y lengua de los Urus.
"Uru, Kusukusi",Araña
Uruchaña,Festejar
Urukipaña,Tardarse haciendo algo en la mañana
Urumawa,Cumpleaños
Ururi,Lucero de la mañana
Urutjama,Día a día
Uruyaña,"Conmemorar, recordar un acontecimiento"
Uscuña,"Poner, Colocar"
Uskuña,"Depositar, poner algo en un lugar determinado"
Usnayu,Variedad de habas grandes
Usu,Enfermedad. Dolencia.
Usuchaña,"Lastimar, herir, lesionar"
Usuchasiña,Lastimarse
Usuña,"Dar a luz, Enfermar"
Usuntaña,Enfermarse o ponerse enfermo
Usuntayaña,Causar enfermedad
Usuri,Enfermo
Usurmukuta,Persona que tiene una enfermedad crónica
Usut jamakitasa ?,Parece que estas enfermo ?
Usuta,Enfermo
Usuttata,Lastimado
Usuyaña,Hacer dar a luz
Usuyiri,Partera
Uta,Casa
Utachaña,Construir
Utachiri,Albañil
Utamasi,Vecino
Uthaña,Morada
Uthihiri,Habitante
Utjanatna,"Si, tengo"
Utjäwi,"Hogar, Residencia"
Uyhua,Ganado
Uyu,Corral de animales domésticos
Uywa,"Animal, Ganado"
Uywa iquiña,Cabaña
Uywaña,Criar
Uywata,Criado
Uywiri,Dios andino que protege de la granizada y helada. Persona que cría a un hijo ajeno.
Waca,Vaca
Waca-kallu,Becerro
Wachu,"Surco, camellón"
Wachukka,Deshonesto
Wachuraña,Abrir surcos
Waica,Ají
Waja,Papa u oca cocidos en piedras o terrenos caldeados
Wajaña,Cocer oca o papas en horno. Ladrar. Hablar sin sentido
Wajcha,Huérfano
Wajgraña,Cornear
Wajgrani,Cornudo
Waji,"Bejudo, planta medicinal de tierras templadas"
Wajt'ayaña,"Preparar, Alcanzar"
Wak'a,Faja. Dios tutelar masculino del lugar que moran en piedras antropomorfas
Wak'achaña,"Poner fajas, Franjear"
Wak'aña,Rodear o envolver con faja
Waka,"Bovino, significa vaca o toro"
Wakawaka,Danza que se originó afines de la colonia
Waki,Convenio de trabajo para provecho en común propietario y cultivador
Wakichaña,"Preparar, Alistar, disponer algo para un fin"
Wakicht'aña,"Arreglar, preparar"
Wakiña,Convenir el trabajo. Uno dispone de terreno el otro proporciona semilla
Wakisiri,"Importante, necesario, indispensable"
Wakisiyaña,"Amañar, componer mañosamente alguna cosa"
Wakiskiri,Conveniente
Wakt'aña,"Recaer, tocar el turno"
Waktaña,Regalar
Wakulla,"Cántaro o tina, pequeña o grande"
Walakiña,Patalear
Walaña,Ir con volteos
Walaya,Canasta plana y grande para recibir productos
Walaychu,"Jaranero, Fiestero"
Walayp'u,Antes de ayer por la tarde
Wali,"Bien, lo bueno, lo útil"
Walichaña,"Remediar, solucionar el daño o perjuicio. Arreglar, refaccionar"
Walichiri,"Remediador, el que remedia"
Walikijtati ?,Te sientes mejor ?
Waliptayaña,Aliviar
Walja,"Mucho, en cantidad"
Waljani,Entre muchos
Waljaptäña,"Acrecentar, Aumentar"
Wallakqiri,Hirviente
Wallaqi,sopa de pescado
Wallaqiña,"Hervir el agua, la leche, etc."
Wallata,"Ganso silvestre, ave del lago Titicaca"
Wallpa,Gallina
Wallqi,Embarazo
Wallt'aña,Salir bien de las cosas
Wallt'ata,Abundante
Wallt'ayaña,Esmerarse en la ejecución de una cosa
Wallusa,Variedad de papa
Walüru,Antes de ayer
Walärma,Antes de ayer por la noche
Waña,Seco
Waña pacha,Noviembre
Wanachaña,Escarmentar
Wañachiña,Secar poniendo al sol
Wanaku,"Mamífero rumiante, camélido"
Wañantaña,Secar el excesivo calor de las plantas
Wañapacha,Sequía
Wañayaña,Disecar
Wanichaña,Escarmentar
Waniña,Escarmentar con experiencia propia o ajena
Waniyaña,Castigar con severidad
Wank'u,Conejillo silvestre
Wank'uputu,Conejera madriguera donde se crían conejos
Wankara,Bombo
Wanku,Conejo
Wanqa,"Trozo de madera, que sirve como palanca"
Wanqaña,Empujar con palanca
Wañt'aña,"Endurecerse la masa de cal, yeso o cemento"
Want'ayaña,"Secar, extraer la humedad de un cuerpo"
Wanthi,Enfermedad venérea
Wanu,"Abono fertilizante, Materia excrementicia de los animales"
Wanuchata,Abonado
Wanuña,Abonar la tierra
Wanunchiri,Abonador
Wañurachina,Exterminar
Wapu,"Persona enfadada, enojada"
Waq'ana,Ave acuática del altiplano
Waq'aq,"Náusea, ganas de vomitar"
Waq'aqiña,"Vomitar, trasbocar"
Waqaqiña,Gañir los canes o el zorro
Waqaychaña,"Adorar, alabar"
Wara,"Cetro, bastón de mando. Estrella."
Wara wara,Estrellas
Waracha,Especie de catre armado con maderos para dormir
Waraña,"Echar, verter, derramar, esparcir líquidos o cosas menudas."
Waranga warangapa,Un millón
Waranqa,Mil
Waranqa mayani,"1001, Mil uno"
Warata,Echado
Wari,Vicuña
Wasa,Otro
Wasara,Vacío
Wasuru,Ayer
Wat'aña,A los pies
Watiña,Colgado
Watita,Colgar
Wawa,Niño o niña. Criatura.
Wawachaña,Parir
Waxra,"Asta, cuerno"
Waxt'aña,Invitar
Wayaqa,Bolsa
Wayllunk'asiña,Colgarse en las ramas de un árbol
Wayllunkiña,"Balancear, mecer"
Wayllunkusiña,Colgarse
Wayna,"Hombre joven, soltero"
Waynaptaña,Rejuvenecer
Wayra,Viento
Wayronkgo,Abeja
Wayrunq'u,Avispa negra y grande. Abeja grande
Wayruru,Pepa con hermosos colores rojo y negro
Waysuña,Extraer algo desde el fondo
Wayt'aña,"Exigir, cobrar"
Waythapiña,"Capturar, aprehender, agarrar"
Wayumuchuña,"Abandonar una cosa, Alejar a la fuerza a una persona"
Wayuña,Agarradera. Llevar una cosa por la manija.
Wayuniña,Traer cosas sin o con agarrador
Wayuntaña,Introducir una cosa con asa
Wayuraña,Arrebatar una cosa con asa movible
Wayxataña,Adicionar con una cosa con asa o cosas parecidas
Wich'inkha,"Cola, rabo"
Wich'kata,Palo que sirve para asegurar y apretar la trama al tejer en estacas
Wich'kataña,Apretar la trama al tejer con la wich'uña
Wich'u,Diarrea
Wich'uña,Instrumento labrado de la canilla de los auquénidos
Wichhu,Paja común de los Andes
Wichinca,Rabo
Wikhaña,Arrancar pelos o plumas. Desgarrar
Wikhanuqaña,"Despedazar, hacer pedazos"
Wikhaqaña,Desgajar la rama del árbol
Wikharaña,Rasgar ropa o partes del cuerpo
Wikhsuña,"Arrancar, Sacar de raíz con violencia"
Wikuchaña,Señalar con el dedo
Wila,Sangre. Color rojo.
Wila wichuchu,Diarrea
Wilachaña,Manchar con sangre
Wilamasi,Pariente
Wilaña,Sangrar
Wilanchaña,Hacer ritual con sangre
Wilaptaña,Ruborizarse
Wiljaña,Esparcir granos o cosas con ropa
Williña,Esparcir. Derramar.
Willitataña,"Diseminar, dispersar, esparcir"
Willjta,"Alba, amanecer"
Willka,Sol
Willkaparu,Maíz de grano regular de color rojo o blanco
Willnuqaña,Arrojar al suelo una cosa larga o una persona
Willthapiña,Recoger cosas esparcidas
Winakaña,Gesto
Winaraña,"Embalar, empacar en bolsas"
Wiñay,Eterno
Wiñaya,"Por siempre, eterno. Siempre."
Wiñaypacha,Eternamente
Winkt'aña,Echarse en el piso
Wintata,Amigo
Wipha,"Signo de regocijo, se echan flores o mixtura en carnavales o en alguna fiesta"
Wiphala,"Símbolo andino que representa la pluralidad de naciones, lengua, culturas y pensamientos. Bandera"
Wiphalayiri,"El que, lleva la bandera en procesiones o festejos públicos"
Wiq'aña,Echar el contenido de las tripas
Wiq'uña,Beber con ruido
Wiri,Lanza
Wiru,Tallo dulce y jugoso del maíz. Caña de maíz
Wisiña,Introducir líquidos en la boca de alguien llevando en vasija o cuchara
Wiska,Cuerda trenzada de cinco ramales generalmente de lana de llama.
Wislla,Cuchara grande de madera
Wist'u,"Chueco, curvo"
Wist'ukiña,Patalear
Withu,Animal con rabo más Corto
Withuwithu,"Coxis, parte final de la columna"
Witu,Punta
Wixru,"Torcido, que no está recto"
Wiyaña,Llevar fuego encendido
Wiytaña,Encender el fuego
Wuajcha,Huérfano
Wuajgra,Cuerno
Wuarmi,Esposa
Wuarsuña,Vaciar
Wuayna,Joven
Wuaynuchitu,Jovencito
Wuiskhu,Abarca
Wururiña,"Zumbar, producir un sonido sordo"
Yaka,Ave de los andes con picó curveado
Yakgan,Ajeno
Yakjga,Distinto
Yakkallachi,Vejiga. 
Yalliña,Exceder
Yallu,Gallo
Yamasa,Además
Yampu,Balsa de totora
Yampuña,"Balsear, navegar en balsa"
Yana,"Criado, sirviente"
Yanan aru,Sinónimos
Yanaña,Probar
Yanapa,"Ayuda, socorro, amparo"
Yanapaña,"Ayudar, colaborar"
Yanapasiña,Ayudarse mutuamente
Yanapayaña,Hacer ayudar
Yanapiri,"Ayudante, el que ayuda."
Yanapt'aña,Ayudar. Dar una pequeña ayuda
Yanapt'iri,Colaborador
Yanaraña,"Ensayar, probar"
Yanata,"Cosa probada, inventada"
Yanjaña,Hacer algún daño
Yanjasiña,Hacerse alguna avería
Yanqha,Hacer el mal
Yanqha jaqi,Despreciable
Yanqhachaña,Hacer dañar a otro
Yanqhachayaña,Permitir que uno haga mal a otro
Yanqhasiña,"Tomar a mal, sentir aversión"
Yant'a,"Prueba, tentación"
Yant'aña,"Atreverse, Determinarse a algo peligroso"
Yant'asiña,Probarse una prenda de vestir
Yanttaña,Prueba
Yapa,"Aditamento, añadidura, adición"
Yapaña,Añadir
Yapantaña,"Aumentar, añadir a lo que está en el interior de algo"
Yapasiña,"Aumentarse, añadirse"
Yapata,"Añadido, Aumentado"
Yapayasiña,Hacerse aumentar
Yapikipaña,Atar dando muchas vueltas con soga
Yapiña,"Amarrar, atar. Empalmar, juntar dos maderas"
Yapintaña,Atar muy fuerte una cosa con otra
Yapiqaña,Amarrar separándolo
Yapita,"Amarrado, atado"
Yapkataña,Atar la reja al arado. Aumentar algo
Yapqataña,"Añadir encima, sobreponer"
Yapqatiri,Persona que aumenta
Yapt'aña,"Adicionar, agregar aumentar"
Yapu,"Chacra, sembradío"
Yapuchaña,"Cultivar, labrar la tierra"
Yapucharapiña,Cultivar la tierra para otro
Yapuchata,Cultivado
Yapuchiri,Persona que cultiva la tierra
Yapuchäwi,Agricultura
Yapuni,"Dueño de la parcela, de la chacra"
Yaq'a,Excremento de los niños recién nacidos. Orina de personas y animales
Yaq'allachi,"Vejiga de hombre, y de todos los animales machos"
Yaq'ana,Lugar donde depositan el excremento los animales
Yaq'asiwi,Letrina
Yaq'at'aqa,Estar enfermo de las vías urinarias
Yaqa,"Diferente, otro"
Yaqachaña,"Aislar, dejar a una persona o cosa aislada de otra"
Yaqachasxaña,"Separarse, apartarse"
Yaqachayasiña,"Hacerse separar, aislar, apartar"
Yaqhachiri,Persona que separa
Yaqhana,De otro lugar.
Yaqhankiri,De otra persona
Yaqhaqtayaña,"Separarse, independizarse"
Yaqharu,"A un lado, a otro"
Yaqhata,"De nuevo, nuevamente"
Yaqhipa,"Alguno, algunos"
Yarakaka,Pájaro carpintero del altiplano
Yarana,Grano de cebada
Yarawi,"Poema, canción"
Yasña,Creer
Yati / Yatiri,Sabio
Yatichana,Educar
Yatichaña,"Adiestrar, enseñar"
Yatichasiña,Ponerse de acuerdo en un negocio ilícito
Yatichata,"Enseñado, educado"
Yatichawi,"Escuela, lugar de enseñanza"
Yatichiri,"Maestro, el que enseña. Profesor"
Yatina,Saber
Yatiña,Aprender
Yatiñani,Experimentado
Yatinaqaña,"Husmear, indagar, averiguar"
Yatinuqtaña,"Acostumbrarse, Habituarse"
Yatiqaña,"Estudiar, aprender"
Yatiqiri,"Aprendiz, persona que aprende"
Yatisiña,Llegar a saber de uno mismo por algún medio
Yatita,"Habitual, que se sabe de costumbre"
"Yatita, Yatigata",Aprendido
Yatiyaña,"Anunciar, dar noticia, informar"
Yatiyasiña,Presentar queja o querella
Yatiyata,Advertido
Yatiyiri,"Comunicador, informante"
Yatiyäwi,"Anuncio, aviso verbal o escrito"
Yatjatawi,Ciencia
Yatkasa,Sabiendas
Yatsuña,Enterarse de algo con profundidad
Yatsusiña,Saberse de algo. Conocerse con alguien
Yatt'ata,Acostumbrado
Yatt'ayaña,Hacerle acostumbrar
Yatxapayaña,"Emular, imitar lo que otro hace"
Yatxapayiri,"Imitador, que imita"
Yatxataña,"Averiguar, descubrir la verdad. Investigar. Transmitir mensajes."
Yatxatiri,"Investigador, que averigua"
Yawi,"El trasquileo, trabajo de segar"
Yawimukuña,"Cortar, segar y abandonar"
Yawiña,"Secreto. Trasquilar, esquilar ganado."
Yawintaña,Segar desde abajo
Yawiraña,"Esquilar, cortarla lana o el pelo de un animal"
Yawiri,"Segador, el que siega las mieses"
Yawri,Agujón
Yayuña,Extender la paja regada en el suelo. Esparcir algo sobre el suelo
Yhapayata,Remedar
Yiririña,Estar en bandada
Yuampu,Balsa
Yuicaña,Aconsejar
Yukka,Hijo
Yunta,Par de bueyes que aran juntos
Yupaichaña,Obedecer
Yupaichata,Respetar
Yupaychaña,Alabar
Yupaychasiri,Alabancioso
Yupaychawi,"Adoratorio, lugar de adoración"
Yupayuchaña,Adorar
Yuqa,Hijo varón
Yuqalla,"Chico, niño, muchacho"
Yuqani,El que tiene un hijo
Yurani,Que nace
Yuriña,"Nacer, nacimiento."
Yuriwi,Lugar de nacimiento
Yuru,"Cosa honda. Bocal, jarra de cuello estrecho y boca ancha"
Yusparaña,Corresponde con gratitud a un beneficio
Yutu,Perdiz
Yuxch'a,Nuera
Yyausaña,Fe
Yä,Gusanillo que roe las papas
Yäni,Que tiene el mayor grado posible de las cualidades requeridas
Yäpa,"Lo justo, obra bien hecha"
